investment_id,organization_id,control_id,investment_name,implementation_cost,annual_operating_cost,expected_risk_reduction_percentage,expected_loss_reduction,implementation_time_days,affected_assets,affected_business_units,compliance_benefit,implementation_priority,expected_ROSI
INV-00039,ORG-003,CTRL-0030,Container Security Platform,984193,311455,16.1,11964527,109,1953,2,Low,Medium,1115.7
INV-00040,ORG-003,CTRL-0033,API Security Gateway,663366,193297,15.3,11484971,91,894,3,Low,Medium,1631.3
INV-00041,ORG-003,CTRL-0039,Security Operations Center Expansion,162783,27484,29.1,1151290,46,1447,4,Medium,Low,607.3
INV-00042,ORG-003,CTRL-0034,Privileged Access Management Deployment,1471172,380272,37.0,17222914,97,2894,8,Low,Critical,1070.7
INV-00043,ORG-004,CTRL-0040,Email Security Enhancement,162011,56525,24.2,1478432,125,190,5,Medium,Low,812.6
INV-00044,ORG-004,CTRL-0045,DLP Implementation,285457,62122,37.6,2058853,118,2883,6,High,Medium,621.2
INV-00045,ORG-004,CTRL-0042,Network Segmentation Project,408112,80189,22.2,7826426,101,721,7,High,Medium,1817.7
INV-00046,ORG-004,CTRL-0046,Cloud Security Posture Hardening,1793036,329755,18.7,27510560,171,2281,1,High,Critical,1434.3
INV-00047,ORG-004,CTRL-0049,SIEM Modernization,779528,242142,15.8,5720513,137,230,7,Medium,High,633.8
INV-00048,ORG-004,CTRL-0047,Identity Governance Upgrade,91794,23263,35.3,1132311,37,804,6,High,Medium,1133.5
INV-00049,ORG-004,CTRL-0043,Threat Intelligence Integration,1650868,472168,31.8,26672397,158,447,1,High,Critical,1515.7
INV-00050,ORG-004,CTRL-0042,Backup & DR Enhancement,612549,104781,36.6,10523617,96,1311,3,High,Medium,1618.0
INV-00051,ORG-004,CTRL-0044,Enterprise MFA Rollout,660010,202869,20.7,5234449,168,2749,1,High,Medium,693.1
INV-00052,ORG-004,CTRL-0048,Vulnerability Management Automation,587713,167915,38.4,10596964,125,1254,2,High,Low,1703.1
INV-00053,ORG-004,CTRL-0041,Container Security Platform,1999314,308816,25.3,17408272,156,1111,5,Medium,Low,770.7
INV-00054,ORG-004,CTRL-0045,Next-Gen Firewall Replacement,1132231,343421,27.0,13808417,104,450,1,Low,Medium,1119.6
INV-00055,ORG-005,CTRL-0064,Incident Response Retainer,1595130,282602,39.0,18017623,162,1246,5,Low,Medium,1029.5
INV-00056,ORG-005,CTRL-0062,Vulnerability Management Automation,1914236,394759,27.8,34434233,126,2974,3,Medium,Critical,1698.8
INV-00057,ORG-005,CTRL-0063,Cloud Security Posture Hardening,455315,88912,17.8,3786780,155,1237,1,Low,Critical,731.7
INV-00058,ORG-005,CTRL-0058,Privileged Access Management Deployment,850303,144299,40.3,7762858,86,2331,1,Medium,High,813.0
INV-00059,ORG-005,CTRL-0050,Network Segmentation Project,100876,27871,43.1,737168,87,1248,8,High,Critical,630.8
INV-00060,ORG-005,CTRL-0050,EDR Platform Upgrade,595488,147945,33.8,11425134,113,766,4,High,Critical,1818.6
INV-00061,ORG-005,CTRL-0062,Threat Intelligence Integration,451802,108821,18.6,5687260,152,2037,1,High,Medium,1158.8
INV-00062,ORG-005,CTRL-0054,SIEM Modernization,228385,53246,42.4,1156818,20,1276,7,Medium,High,406.5
INV-00063,ORG-005,CTRL-0051,Data Encryption Expansion,1221587,226901,12.6,12646344,54,2388,7,High,High,935.2
INV-00064,ORG-006,CTRL-0082,Security Operations Center Expansion,984983,330249,39.3,19094050,172,2830,6,Low,Medium,1838.5
INV-00065,ORG-006,CTRL-0071,Threat Intelligence Integration,975023,167824,22.4,11201224,108,2811,5,Medium,Low,1048.8
INV-00066,ORG-006,CTRL-0066,Email Security Enhancement,877960,208109,15.0,10862708,154,2828,6,High,Medium,1137.3
INV-00067,ORG-006,CTRL-0066,Privileged Access Management Deployment,446083,69825,28.7,8350597,72,198,1,High,Medium,1772.0
INV-00068,ORG-006,CTRL-0080,DLP Implementation,1512342,293063,37.0,18397722,55,2684,8,High,High,1116.5
INV-00069,ORG-006,CTRL-0071,Incident Response Retainer,578851,185325,35.2,8923466,57,1071,6,Medium,Medium,1441.6
INV-00070,ORG-006,CTRL-0079,Identity Governance Upgrade,412924,66696,20.5,2337613,107,2116,2,Low,High,466.1
INV-00071,ORG-006,CTRL-0078,Network Segmentation Project,483894,80154,20.2,3420132,16,389,3,High,Medium,606.8
INV-00072,ORG-006,CTRL-0077,Security Awareness Program,680054,188476,39.9,7557851,117,746,1,Low,Low,1011.4
INV-00073,ORG-006,CTRL-0081,Zero Trust Network Access,114428,17229,17.5,1049300,55,1796,6,Low,Low,817.0
INV-00074,ORG-007,CTRL-0090,Security Operations Center Expansion,1995397,684809,16.8,12587401,158,1212,5,High,Medium,530.8
INV-00075,ORG-007,CTRL-0091,Vulnerability Management Automation,4298181,957620,37.2,22792987,170,2118,5,High,High,430.3
INV-00076,ORG-007,CTRL-0088,API Security Gateway,5109498,1348703,17.4,35153158,34,298,6,Low,High,588.0
INV-00077,ORG-007,CTRL-0085,Network Segmentation Project,2724464,715992,23.9,40600462,20,2725,5,Low,Medium,1390.2
INV-00078,ORG-007,CTRL-0087,Identity Governance Upgrade,2149439,604349,44.3,19942786,31,1332,1,Medium,High,827.8
INV-00079,ORG-007,CTRL-0086,Threat Intelligence Integration,5431189,862927,13.6,92527615,54,1330,5,Low,Medium,1603.6
INV-00080,ORG-007,CTRL-0084,Privileged Access Management Deployment,4845504,1644335,24.0,42029313,108,305,1,Medium,High,767.4
INV-00081,ORG-007,CTRL-0084,Zero Trust Network Access,2971605,692942,23.2,27527655,35,1003,3,High,High,826.4
INV-00082,ORG-007,CTRL-0091,EDR Platform Upgrade,2891034,889151,13.2,47191180,107,2695,7,Medium,High,1532.3
INV-00083,ORG-007,CTRL-0086,Incident Response Retainer,2539319,650486,42.3,30936282,142,2970,5,Medium,High,1118.3
INV-00084,ORG-008,CTRL-0111,Vulnerability Management Automation,196204,31118,33.9,2090693,78,1367,3,Low,Medium,965.6
INV-00085,ORG-008,CTRL-0099,Backup & DR Enhancement,171734,52908,23.1,3315250,71,180,8,Medium,High,1830.5
INV-00086,ORG-008,CTRL-0115,Threat Intelligence Integration,703516,177018,29.1,9685839,60,2505,2,Medium,Critical,1276.8
INV-00087,ORG-008,CTRL-0116,SIEM Modernization,97377,21217,43.3,1210914,47,2673,2,Low,Critical,1143.5
INV-00088,ORG-008,CTRL-0108,Incident Response Retainer,204160,44179,29.2,3829269,111,1031,3,Low,Critical,1775.6
INV-00089,ORG-008,CTRL-0105,Container Security Platform,616709,140109,35.8,5247919,71,864,3,High,High,751.0
INV-00090,ORG-008,CTRL-0109,DLP Implementation,189438,45863,28.5,1459502,26,923,2,High,Medium,670.4
INV-00091,ORG-008,CTRL-0103,Cloud Security Posture Hardening,361708,122234,17.4,5528477,56,1584,2,Low,Low,1428.4
INV-00092,ORG-008,CTRL-0101,Security Operations Center Expansion,181969,31959,21.3,778955,17,288,5,High,Critical,328.1
INV-00093,ORG-008,CTRL-0115,Identity Governance Upgrade,333079,66215,42.2,2492735,152,1770,2,Medium,Medium,648.4
INV-00094,ORG-008,CTRL-0113,API Security Gateway,324737,68023,32.3,6365309,142,113,3,Low,Low,1860.1
INV-00095,ORG-008,CTRL-0096,Privileged Access Management Deployment,651248,164369,42.4,10183248,171,336,7,Medium,Medium,1463.7
INV-00096,ORG-008,CTRL-0101,Zero Trust Network Access,337807,58454,29.6,2020234,63,2256,7,Medium,High,498.0
INV-00097,ORG-008,CTRL-0107,Network Segmentation Project,663683,229212,24.6,11226924,170,1782,1,High,Low,1591.6
INV-00098,ORG-009,CTRL-0122,Enterprise MFA Rollout,1297365,317985,15.2,20808331,133,2774,4,High,Low,1503.9
INV-00099,ORG-009,CTRL-0119,Network Segmentation Project,1734691,348111,13.1,10914003,157,2839,3,Low,Medium,529.2
INV-00100,ORG-009,CTRL-0126,DLP Implementation,1203589,382458,14.6,5735395,143,1152,8,High,Medium,376.5
INV-00101,ORG-009,CTRL-0120,Next-Gen Firewall Replacement,1249359,397533,15.8,8435119,110,2190,2,Low,Critical,575.2
INV-00102,ORG-009,CTRL-0120,Security Awareness Program,874691,277610,44.4,6273986,58,355,8,Low,Medium,617.3
INV-00103,ORG-009,CTRL-0127,Privileged Access Management Deployment,1984592,646144,15.1,10101834,123,1007,1,Low,High,409.0
INV-00104,ORG-009,CTRL-0121,Cloud Security Posture Hardening,498371,160214,17.8,5847582,118,1557,7,High,High,1073.3
INV-00105,ORG-009,CTRL-0117,Email Security Enhancement,91745,22295,40.0,608634,112,309,6,Low,Critical,563.4
INV-00106,ORG-009,CTRL-0126,Zero Trust Network Access,211115,44292,10.7,1924723,117,277,1,High,High,811.7
INV-00107,ORG-010,CTRL-0141,Threat Intelligence Integration,1386004,405875,36.0,6210480,127,2881,1,High,Medium,348.1
INV-00108,ORG-010,CTRL-0138,Incident Response Retainer,993724,329876,42.5,8627700,158,1187,2,Medium,High,768.2
INV-00109,ORG-010,CTRL-0143,Data Encryption Expansion,947383,238459,37.2,10814265,50,106,8,High,High,1041.5
INV-00110,ORG-010,CTRL-0133,Network Segmentation Project,151666,26493,11.2,894441,33,1963,5,High,Medium,489.7
INV-00111,ORG-010,CTRL-0137,API Security Gateway,1677989,396928,19.9,7796147,68,272,6,Low,Medium,364.6
INV-00112,ORG-010,CTRL-0130,Vulnerability Management Automation,1252271,308823,15.1,16097425,88,63,3,Low,Medium,1185.5
INV-00113,ORG-010,CTRL-0130,Enterprise MFA Rollout,610253,139176,43.7,9912639,174,889,5,Medium,Low,1524.3
INV-00114,ORG-010,CTRL-0130,Zero Trust Network Access,1459218,432853,36.6,20616670,45,2522,4,Medium,Medium,1312.9
INV-00115,ORG-010,CTRL-0135,Security Awareness Program,1162838,182027,38.0,10133605,163,2028,3,Medium,Medium,771.5
INV-00116,ORG-010,CTRL-0144,Email Security Enhancement,1622992,552401,35.0,21906866,79,2621,6,High,High,1249.8
INV-00117,ORG-010,CTRL-0138,Security Operations Center Expansion,1873911,320418,23.5,25363592,142,2105,8,Low,Low,1253.5
INV-00118,ORG-010,CTRL-0132,Privileged Access Management Deployment,843700,173282,36.1,10584884,71,314,7,High,Medium,1154.6
INV-00119,ORG-010,CTRL-0133,SIEM Modernization,475665,147169,39.9,8737990,52,54,3,Low,High,1737.0
INV-00120,ORG-011,CTRL-0156,DLP Implementation,1739649,282369,44.5,19694040,125,1837,2,Low,Critical,1032.1
INV-00121,ORG-011,CTRL-0158,Vulnerability Management Automation,1866333,430151,14.6,35828484,79,2183,5,High,Medium,1819.7
INV-00122,ORG-011,CTRL-0147,Next-Gen Firewall Replacement,557993,105592,28.1,2671057,123,191,1,Low,Low,378.7
INV-00123,ORG-011,CTRL-0155,Backup & DR Enhancement,979652,233244,36.4,19042273,120,868,5,High,High,1843.8
INV-00124,ORG-011,CTRL-0148,Security Awareness Program,228369,61247,32.5,2029039,75,1166,6,Low,Medium,788.5
INV-00125,ORG-011,CTRL-0162,Enterprise MFA Rollout,705003,136827,31.7,10647245,80,2452,4,High,Medium,1410.2
INV-00126,ORG-011,CTRL-0155,Cloud Security Posture Hardening,567297,145722,42.5,3258150,177,2923,2,High,High,474.3
INV-00127,ORG-011,CTRL-0161,API Security Gateway,136399,45019,44.4,2237532,40,832,4,High,High,1540.4
INV-00128,ORG-011,CTRL-0162,Privileged Access Management Deployment,1910980,436936,43.6,19862221,56,412,2,Low,High,939.4
INV-00129,ORG-011,CTRL-0159,SIEM Modernization,488249,106302,14.6,7985419,54,2429,5,Medium,Critical,1535.5
INV-00130,ORG-011,CTRL-0157,Incident Response Retainer,739684,219661,14.4,3606032,17,1487,2,Medium,High,387.5
INV-00131,ORG-011,CTRL-0161,Container Security Platform,242245,65686,36.2,1481533,158,2131,3,Medium,High,511.6
INV-00132,ORG-011,CTRL-0155,Zero Trust Network Access,1737941,409812,41.0,23827817,59,1589,3,High,High,1271.0
INV-00133,ORG-011,CTRL-0155,Network Segmentation Project,989826,293913,10.9,7606829,115,2847,7,Medium,High,668.5
INV-00134,ORG-012,CTRL-0173,Privileged Access Management Deployment,1066545,331934,20.6,12774761,142,2097,6,High,High,1097.8
INV-00135,ORG-012,CTRL-0165,SIEM Modernization,310645,71365,29.4,3260748,130,723,1,High,Medium,949.7
INV-00136,ORG-012,CTRL-0174,Container Security Platform,1956220,406246,32.2,20132415,14,1464,6,Low,High,929.1
INV-00137,ORG-012,CTRL-0168,Vulnerability Management Automation,1669459,499897,37.8,7728486,177,519,7,Medium,Medium,362.9
INV-00138,ORG-012,CTRL-0166,Network Segmentation Project,1877436,479412,39.7,13783017,27,1533,1,High,High,634.1
INV-00139,ORG-012,CTRL-0176,Security Operations Center Expansion,1646481,547239,17.4,21904182,117,2951,7,High,Medium,1230.4
INV-00140,ORG-012,CTRL-0174,Incident Response Retainer,1541613,481261,13.0,28228992,100,927,6,Low,Medium,1731.1
INV-00141,ORG-012,CTRL-0177,EDR Platform Upgrade,545227,109932,31.9,10745487,134,386,7,Medium,High,1870.8
INV-00142,ORG-012,CTRL-0171,API Security Gateway,1238253,310481,41.1,21888745,47,2203,6,High,Medium,1667.7
INV-00143,ORG-012,CTRL-0172,DLP Implementation,1610911,459043,22.3,16322944,17,2943,3,Medium,Critical,913.3
INV-00144,ORG-012,CTRL-0167,Email Security Enhancement,840287,212881,35.2,5253838,110,2076,2,High,Medium,525.2
INV-00145,ORG-012,CTRL-0177,Next-Gen Firewall Replacement,662001,185917,28.0,10011309,140,2562,3,Low,Critical,1412.3
INV-00146,ORG-012,CTRL-0172,Threat Intelligence Integration,254837,84846,14.9,2957185,80,1890,8,High,Low,1060.4
INV-00147,ORG-013,CTRL-0181,API Security Gateway,3995798,1071027,42.7,54994621,42,797,1,High,Critical,1276.3
INV-00148,ORG-013,CTRL-0183,Zero Trust Network Access,3643195,848049,34.4,40750813,128,393,5,Medium,Low,1018.5
INV-00149,ORG-013,CTRL-0182,Identity Governance Upgrade,1200131,321706,28.3,6433885,147,529,6,Low,High,436.1
INV-00150,ORG-013,CTRL-0181,Enterprise MFA Rollout,2019737,494081,25.5,16429092,24,2719,5,High,Low,713.4
INV-00151,ORG-013,CTRL-0185,Email Security Enhancement,2207722,356128,24.8,19039837,173,1832,2,High,High,762.4
INV-00152,ORG-013,CTRL-0180,Backup & DR Enhancement,3367439,643323,41.5,17332239,82,1213,3,Low,Medium,414.7
INV-00153,ORG-013,CTRL-0185,Data Encryption Expansion,1471725,227947,26.0,6900461,71,2575,4,Low,Medium,368.9
INV-00154,ORG-013,CTRL-0179,Container Security Platform,4549009,1558780,13.1,71268393,95,1857,3,High,Low,1466.7
INV-00155,ORG-013,CTRL-0185,Threat Intelligence Integration,5325462,1447027,22.4,35832930,27,2655,7,Medium,High,572.9
INV-00156,ORG-013,CTRL-0184,Network Segmentation Project,753690,180586,11.0,9716069,124,348,2,High,Medium,1189.1
INV-00157,ORG-013,CTRL-0186,DLP Implementation,1739335,557596,24.4,26447984,165,2628,3,High,High,1420.6
INV-00158,ORG-013,CTRL-0182,Cloud Security Posture Hardening,3740719,987346,35.4,43637979,78,2692,7,High,Medium,1066.6
INV-00159,ORG-013,CTRL-0179,Privileged Access Management Deployment,3170037,850078,20.4,14616215,64,2417,6,High,Critical,361.1
INV-00160,ORG-013,CTRL-0184,EDR Platform Upgrade,1212342,313441,30.2,12592284,153,2094,2,Low,High,938.7
INV-00161,ORG-013,CTRL-0184,Security Operations Center Expansion,5572263,1607910,13.5,68054996,153,583,3,Medium,Low,1121.3
INV-00162,ORG-014,CTRL-0190,API Security Gateway,690095,119454,37.6,13548902,160,1537,7,High,High,1863.3
INV-00163,ORG-014,CTRL-0201,Container Security Platform,546266,129508,35.7,10662280,70,1128,2,Low,Medium,1851.8
INV-00164,ORG-014,CTRL-0192,Zero Trust Network Access,119753,19869,25.4,1275183,149,261,4,High,Critical,964.8
INV-00165,ORG-014,CTRL-0200,Backup & DR Enhancement,567112,114053,11.3,6570976,43,1518,1,Medium,Medium,1058.7
INV-00166,ORG-014,CTRL-0194,EDR Platform Upgrade,198015,47180,14.5,908117,101,2598,5,High,Medium,358.6
INV-00167,ORG-014,CTRL-0192,Next-Gen Firewall Replacement,78441,18324,18.5,326943,136,626,6,High,Medium,316.8
INV-00168,ORG-014,CTRL-0199,Security Awareness Program,702227,166441,34.4,7973044,134,343,6,Medium,Medium,1035.4
INV-00169,ORG-014,CTRL-0201,Threat Intelligence Integration,624886,108289,18.2,4574346,103,1733,7,Low,High,632.0
INV-00170,ORG-014,CTRL-0202,Cloud Security Posture Hardening,570169,112527,32.2,6878783,94,853,2,High,Medium,1106.4
INV-00171,ORG-014,CTRL-0191,Security Operations Center Expansion,787759,151909,11.9,7750564,76,2600,7,Medium,Critical,883.9
INV-00172,ORG-014,CTRL-0202,DLP Implementation,277606,80439,15.0,2375169,81,2136,3,Low,High,755.6
INV-00173,ORG-015,CTRL-0207,Incident Response Retainer,2202146,618754,26.6,23066779,82,1613,1,Medium,Critical,947.5
INV-00174,ORG-015,CTRL-0220,Container Security Platform,3827721,1336624,30.3,24973472,156,2756,6,High,Critical,552.4
INV-00175,ORG-015,CTRL-0213,EDR Platform Upgrade,5263230,1019136,21.1,33699670,54,387,3,High,Low,540.3
INV-00176,ORG-015,CTRL-0211,SIEM Modernization,4744364,889418,18.9,56258447,164,2144,4,High,High,1085.8
INV-00177,ORG-015,CTRL-0211,Privileged Access Management Deployment,5446280,1434070,10.6,94959255,26,328,3,Medium,High,1643.6
INV-00178,ORG-015,CTRL-0209,Cloud Security Posture Hardening,1763231,603467,13.8,14595589,44,2153,6,Low,High,727.8
INV-00179,ORG-015,CTRL-0214,Next-Gen Firewall Replacement,3564889,821409,27.1,55962456,128,1130,3,Low,Critical,1469.8
INV-00180,ORG-015,CTRL-0211,Security Operations Center Expansion,1432024,259822,41.4,25283539,173,2336,8,Medium,Critical,1665.6
INV-00181,ORG-015,CTRL-0218,Enterprise MFA Rollout,2648982,753075,15.4,15447975,48,2164,6,Low,High,483.2
INV-00182,ORG-015,CTRL-0215,Backup & DR Enhancement,4624562,1575124,41.4,36432339,34,904,6,High,High,687.8
INV-00183,ORG-015,CTRL-0215,Email Security Enhancement,1533204,427667,18.3,13023445,139,2397,2,Medium,Critical,749.4
INV-00184,ORG-015,CTRL-0208,API Security Gateway,4194918,820869,36.8,35135505,23,264,5,High,Critical,737.6
INV-00185,ORG-015,CTRL-0218,Zero Trust Network Access,2529581,491139,34.1,25221303,158,217,6,Low,Medium,897.1
INV-00186,ORG-015,CTRL-0220,Vulnerability Management Automation,2413524,522918,19.4,30642024,38,2780,8,Low,Medium,1169.6
INV-00187,ORG-015,CTRL-0208,DLP Implementation,2824789,628847,20.9,42666290,130,2943,4,Medium,Low,1410.4
INV-00188,ORG-016,CTRL-0226,Data Encryption Expansion,402668,136794,34.2,6032180,42,2068,6,Low,Medium,1398.1
INV-00189,ORG-016,CTRL-0223,Cloud Security Posture Hardening,777394,223532,26.7,6971301,101,244,2,High,Medium,796.8
INV-00190,ORG-016,CTRL-0227,Threat Intelligence Integration,645134,155205,38.3,9826401,87,537,8,Medium,Medium,1423.2
INV-00191,ORG-016,CTRL-0228,Identity Governance Upgrade,775307,248492,14.3,13673170,113,2424,8,Low,High,1663.6
INV-00192,ORG-016,CTRL-0235,Incident Response Retainer,588837,163577,40.8,10884038,58,2295,3,Low,High,1748.4
INV-00193,ORG-016,CTRL-0228,Container Security Platform,700517,185081,20.3,5759351,157,1687,3,High,High,722.2
INV-00194,ORG-016,CTRL-0225,DLP Implementation,726774,129053,15.4,11596581,78,2439,4,Medium,Low,1495.6
INV-00195,ORG-016,CTRL-0230,Enterprise MFA Rollout,148797,35765,17.2,925398,90,1456,7,Medium,High,521.9
INV-00196,ORG-017,CTRL-0239,Network Segmentation Project,1717860,587636,24.1,20264643,136,152,7,Medium,Critical,1079.6
INV-00197,ORG-017,CTRL-0247,Backup & DR Enhancement,406323,140744,42.8,5811397,138,2339,6,High,High,1330.2
INV-00198,ORG-017,CTRL-0246,Privileged Access Management Deployment,499961,133547,25.0,7381923,99,515,3,High,High,1376.5
INV-00199,ORG-017,CTRL-0257,Vulnerability Management Automation,5188720,1641021,21.1,42505516,78,677,2,High,High,719.2
INV-00200,ORG-017,CTRL-0255,Next-Gen Firewall Replacement,5341499,1387809,21.7,29054216,60,1246,6,Medium,High,443.9
INV-00201,ORG-017,CTRL-0242,Email Security Enhancement,1918048,555020,31.8,32737869,82,402,7,Low,Medium,1606.8
INV-00202,ORG-017,CTRL-0240,Data Encryption Expansion,5941912,1690181,29.8,24831357,96,1185,2,High,Medium,317.9
INV-00203,ORG-017,CTRL-0245,Incident Response Retainer,1281626,324176,30.2,25620180,48,1044,1,Low,High,1899.0
INV-00204,ORG-017,CTRL-0244,Identity Governance Upgrade,373410,99379,11.1,4658902,19,1077,4,High,Low,1147.7
INV-00205,ORG-017,CTRL-0254,Enterprise MFA Rollout,938740,312313,11.1,17338150,154,1456,6,Medium,High,1747.0
INV-00206,ORG-017,CTRL-0243,SIEM Modernization,5495943,1773731,41.9,30526094,105,379,7,Low,Medium,455.4
INV-00207,ORG-018,CTRL-0264,EDR Platform Upgrade,1617690,524354,10.9,21675145,33,951,7,Medium,High,1239.9
INV-00208,ORG-018,CTRL-0270,Threat Intelligence Integration,3940632,1361046,20.5,24475493,93,1975,7,High,High,521.1
INV-00209,ORG-018,CTRL-0265,Data Encryption Expansion,2820930,815888,25.4,41791814,116,855,7,High,High,1381.5
INV-00210,ORG-018,CTRL-0269,Incident Response Retainer,2261711,379687,44.4,31783874,143,2095,8,High,Critical,1305.3
INV-00211,ORG-018,CTRL-0264,Email Security Enhancement,5249554,1249710,19.1,69162730,23,2191,6,Low,Medium,1217.5
INV-00212,ORG-018,CTRL-0265,Next-Gen Firewall Replacement,2466930,737344,24.7,17453840,160,2117,4,Low,Medium,607.5
INV-00213,ORG-018,CTRL-0269,Vulnerability Management Automation,598846,177167,22.2,8805173,81,1700,4,Medium,High,1370.4
INV-00214,ORG-018,CTRL-0267,Network Segmentation Project,2649552,652827,32.3,23946816,87,91,5,High,Medium,803.8
INV-00215,ORG-018,CTRL-0265,Security Operations Center Expansion,5988785,1294162,38.8,60918429,76,761,6,Low,Medium,917.2
INV-00216,ORG-018,CTRL-0263,API Security Gateway,3669802,633997,14.7,31879441,154,204,4,Low,Low,768.7
INV-00217,ORG-018,CTRL-0270,Identity Governance Upgrade,299508,80027,33.8,2177671,23,955,7,High,High,627.1
INV-00218,ORG-019,CTRL-0290,Identity Governance Upgrade,2613837,611323,35.3,18204415,81,74,1,High,High,596.5
INV-00219,ORG-019,CTRL-0279,EDR Platform Upgrade,5727086,990682,11.8,55123043,171,2082,8,Medium,Medium,862.5
