threat_id,threat_actor,threat_category,attack_technique,targeted_industry,targeted_asset_type,campaign_active,threat_frequency,exploit_probability,geographic_scope,severity,intelligence_confidence,first_seen,last_seen,associated_cve,ransomware_indicator,data_exfiltration_risk
THREAT-00018,Lazarus Group,Ransomware,T1110 Brute Force,Government,Cloud VM,True,33,0.69,Americas,Medium,High,2023-07-03,2023-11-03,CVE-2026-63096,True,True
THREAT-00019,Mustang Panda,Zero-Day Exploit,T1036 Masquerading,Manufacturing,API Gateway,False,25,0.21,Americas,Low,High,2026-01-16,2026-09-04,CVE-2026-41304,False,False
THREAT-00020,Script Kiddie,Data Exfiltration,T1486 Data Encrypted for Impact,Government,Kubernetes Cluster,True,44,0.46,India,High,High,2021-11-24,2021-12-05,,False,True
THREAT-00021,Hacktivist Group,Business Email Compromise,T1110 Brute Force,Insurance,Kubernetes Cluster,False,35,0.12,EMEA,High,High,2022-08-13,2023-04-05,CVE-2026-75125,False,False
THREAT-00022,ALPHV,Business Email Compromise,T1003 OS Credential Dumping,Insurance,Storage Bucket,False,86,0.57,EMEA,Medium,Low,2026-06-19,2026-09-04,,False,True
THREAT-00023,Nation-State (Iran),DDoS,T1070 Indicator Removal,IT Services,Employee Laptop,False,29,0.63,India,Medium,High,2026-03-17,2026-09-04,CVE-2026-6195,False,False
THREAT-00024,ALPHV,Ransomware,T1105 Ingress Tool Transfer,E-commerce,API Gateway,False,36,0.32,Americas,Low,Medium,2026-01-12,2026-09-04,,True,False
THREAT-00025,Scattered Spider,Zero-Day Exploit,T1036 Masquerading,Manufacturing,API Gateway,False,56,0.46,EMEA,High,Medium,2026-03-02,2026-04-03,,False,True
THREAT-00026,FIN7,Cryptojacking,T1055 Process Injection,Insurance,Employee Laptop,False,41,0.39,EMEA,High,Low,2021-05-24,2021-08-19,,False,True
THREAT-00027,Script Kiddie,Cloud Misconfiguration Exploitation,T1133 External Remote Services,Energy,Email Server,True,42,0.28,Americas,Medium,High,2022-05-08,2023-03-06,,False,False
THREAT-00028,Nation-State (China),Data Exfiltration,T1053 Scheduled Task/Job,Energy,Payment Gateway,False,43,0.53,India,High,Low,2022-09-24,2023-04-12,CVE-2026-85157,False,True
THREAT-00029,FIN7,Phishing,T1078 Valid Accounts,Energy,Kubernetes Cluster,False,80,0.32,EMEA,Critical,Low,2022-09-22,2023-01-06,,False,True
THREAT-00030,SilverFox,Insider Threat,T1059 Command and Scripting Interpreter,Manufacturing,SaaS Application,False,7,0.39,Asia-Pacific,Critical,High,2024-10-29,2024-11-08,,False,True
THREAT-00031,FIN7,Zero-Day Exploit,T1133 External Remote Services,Government,Payment Gateway,False,81,0.39,Americas,Low,Low,2025-03-12,2026-01-20,CVE-2026-85242,False,False
THREAT-00032,Mustang Panda,Web Application Attack,T1133 External Remote Services,Government,Cloud VM,True,28,0.57,Asia-Pacific,Low,Low,2023-08-20,2024-05-31,,False,False
THREAT-00033,Turla,Supply Chain Attack,T1027 Obfuscated Files or Information,Energy,Database Server,False,57,0.32,Global,Medium,Medium,2024-12-17,2025-11-03,,False,True
THREAT-00034,REvil,Supply Chain Attack,T1562 Impair Defenses,Insurance,Domain Controller,True,58,0.41,India,Medium,Low,2021-12-09,2022-12-07,,True,False
THREAT-00035,APT28,Data Exfiltration,T1055 Process Injection,Energy,Database Server,True,11,0.19,Americas,Low,Medium,2023-04-21,2023-06-13,,False,True
THREAT-00036,Sandworm,Insider Threat,T1110 Brute Force,E-commerce,Payment Gateway,False,3,0.23,India,Medium,Medium,2022-04-22,2023-01-16,CVE-2026-81686,False,True
THREAT-00037,FIN7,Credential Theft,T1110 Brute Force,Education,Kubernetes Cluster,False,17,0.18,India,High,Medium,2025-05-21,2025-10-28,,False,False
THREAT-00038,Script Kiddie,Cryptojacking,T1059 Command and Scripting Interpreter,Energy,Storage Bucket,False,99,0.13,Global,Low,Low,2024-01-21,2024-04-24,CVE-2026-58567,False,True
THREAT-00039,Insider,Zero-Day Exploit,T1082 System Information Discovery,Insurance,Email Server,False,81,0.6,Global,Low,Medium,2022-01-31,2022-02-14,,False,False
THREAT-00040,Insider,Cloud Misconfiguration Exploitation,T1562 Impair Defenses,Manufacturing,Kubernetes Cluster,False,95,0.53,EMEA,Low,Low,2025-03-15,2025-12-20,,False,True
THREAT-00041,SilverFox,Ransomware,T1003 OS Credential Dumping,Energy,Domain Controller,True,48,0.6,Global,Medium,High,2024-06-17,2025-06-17,CVE-2026-68861,True,False
THREAT-00042,LockBit,Supply Chain Attack,T1053 Scheduled Task/Job,E-commerce,Cloud VM,False,61,0.33,EMEA,Critical,High,2024-04-25,2024-06-22,CVE-2026-85156,False,True
THREAT-00043,APT28,Cloud Misconfiguration Exploitation,T1021 Remote Services,Education,Domain Controller,True,19,0.44,India,Medium,Low,2024-07-22,2024-08-03,,False,False
THREAT-00044,REvil,DDoS,T1055 Process Injection,Energy,Domain Controller,False,103,0.43,Asia-Pacific,High,Low,2025-06-08,2026-01-03,,False,False
THREAT-00045,APT28,Ransomware,T1562 Impair Defenses,Energy,Email Server,False,50,0.79,EMEA,Medium,High,2022-09-29,2022-11-15,,True,True
THREAT-00046,Nation-State (China),Credential Theft,T1562 Impair Defenses,IT Services,Storage Bucket,False,38,0.53,Asia-Pacific,High,Low,2023-08-07,2023-08-20,CVE-2026-78684,False,False
THREAT-00047,TA505,Credential Theft,T1486 Data Encrypted for Impact,IT Services,Email Server,False,82,0.56,India,Low,Medium,2022-12-04,2023-01-12,CVE-2026-44792,True,False
THREAT-00048,Nation-State (Iran),Data Exfiltration,T1110 Brute Force,E-commerce,Domain Controller,True,32,0.27,Asia-Pacific,Medium,High,2022-07-24,2022-08-19,,False,True
THREAT-00049,TA505,Credential Theft,T1059 Command and Scripting Interpreter,Manufacturing,Kubernetes Cluster,False,88,0.38,India,High,Medium,2025-04-29,2025-10-03,CVE-2026-73297,False,False
THREAT-00050,TA505,Zero-Day Exploit,T1048 Exfiltration Over Alternative Protocol,IT Services,Email Server,False,13,0.35,Global,Medium,High,2025-07-15,2026-05-18,,False,False
THREAT-00051,Conti,Phishing,T1048 Exfiltration Over Alternative Protocol,Government,Domain Controller,True,18,0.21,Americas,High,High,2023-01-24,2023-03-08,CVE-2026-50160,False,False
THREAT-00052,REvil,Ransomware,T1105 Ingress Tool Transfer,Insurance,Payment Gateway,True,16,0.6,EMEA,Low,High,2022-09-17,2023-08-30,CVE-2026-55758,True,True
THREAT-00053,ALPHV,Ransomware,T1110 Brute Force,Government,Email Server,False,37,0.77,EMEA,Low,Medium,2025-12-31,2026-09-04,CVE-2026-81678,True,True
THREAT-00054,Scattered Spider,Ransomware,T1027 Obfuscated Files or Information,Energy,API Gateway,True,7,0.75,Americas,Low,Low,2025-05-14,2025-07-26,,True,True
THREAT-00055,TA505,Data Exfiltration,T1133 External Remote Services,Government,Storage Bucket,True,99,0.37,India,Low,High,2024-08-20,2024-10-24,,False,False
THREAT-00056,Hacktivist Group,Cryptojacking,T1190 Exploit Public-Facing Application,E-commerce,API Gateway,True,42,0.56,India,High,Medium,2025-04-24,2025-05-16,CVE-2026-9457,True,False
THREAT-00057,Insider,Cloud Misconfiguration Exploitation,T1053 Scheduled Task/Job,Insurance,Cloud VM,False,99,0.44,India,Low,Low,2021-12-18,2022-04-15,,False,False
THREAT-00058,Scattered Spider,Ransomware,T1566 Phishing,Manufacturing,Storage Bucket,False,38,0.57,Americas,Low,Medium,2025-08-12,2025-08-27,,True,True
THREAT-00059,Hacktivist Group,Ransomware,T1082 System Information Discovery,Telecom,Kubernetes Cluster,True,43,0.52,India,Critical,Low,2024-02-19,2024-11-02,,True,True
THREAT-00060,Kimsuky,Data Exfiltration,T1048 Exfiltration Over Alternative Protocol,Education,Web Server,False,88,0.3,Americas,Medium,Medium,2026-07-06,2026-09-04,CVE-2026-78205,False,True
THREAT-00061,ALPHV,DDoS,T1003 OS Credential Dumping,Government,Payment Gateway,True,136,0.44,EMEA,Low,High,2025-03-19,2025-05-22,CVE-2026-62381,False,False
THREAT-00062,Conti,Supply Chain Attack,T1190 Exploit Public-Facing Application,Energy,SaaS Application,False,17,0.14,EMEA,Low,Low,2022-03-15,2022-06-26,,True,False
THREAT-00063,APT29,Cryptojacking,T1048 Exfiltration Over Alternative Protocol,Government,API Gateway,False,7,0.28,India,Medium,Low,2023-05-06,2024-02-17,CVE-2026-84187,False,False
THREAT-00064,Nation-State (Iran),Data Exfiltration,T1021 Remote Services,Education,API Gateway,False,69,0.51,EMEA,High,Low,2026-05-18,2026-09-04,CVE-2026-78147,True,False
THREAT-00065,Script Kiddie,Credential Theft,T1569 System Services,E-commerce,Domain Controller,False,98,0.48,India,Critical,Low,2024-06-12,2024-06-30,,False,False
THREAT-00066,Sandworm,DDoS,T1569 System Services,Education,Database Server,False,182,0.84,Global,Critical,High,2024-05-20,2025-03-09,CVE-2026-18613,False,False
THREAT-00067,REvil,Cloud Misconfiguration Exploitation,T1021 Remote Services,Healthcare,Storage Bucket,True,85,0.52,Americas,Medium,Medium,2025-11-02,2026-08-16,CVE-2026-40873,False,False
THREAT-00068,APT29,Insider Threat,T1566 Phishing,Energy,Kubernetes Cluster,False,2,0.25,Asia-Pacific,Low,Low,2022-12-24,2023-11-11,CVE-2026-15511,False,True
THREAT-00069,ALPHV,Data Exfiltration,T1070 Indicator Removal,Energy,Employee Laptop,False,60,0.17,Americas,Critical,Medium,2022-11-03,2023-01-14,,False,False
THREAT-00070,Mustang Panda,Web Application Attack,T1071 Application Layer Protocol,IT Services,SaaS Application,True,76,0.46,Americas,Medium,Medium,2022-02-07,2022-10-08,CVE-2026-3703,False,False
THREAT-00071,Conti,Insider Threat,T1036 Masquerading,Energy,Storage Bucket,False,4,0.3,EMEA,Medium,High,2025-08-27,2025-09-22,,False,True
THREAT-00072,SilverFox,Phishing,T1055 Process Injection,E-commerce,Database Server,False,46,0.41,EMEA,High,Medium,2022-06-27,2022-08-22,,False,False
THREAT-00073,Unknown,Supply Chain Attack,T1027 Obfuscated Files or Information,Energy,API Gateway,True,99,0.58,Global,High,High,2024-02-28,2024-07-04,CVE-2026-76604,False,True
THREAT-00074,Nation-State (China),Phishing,T1021 Remote Services,IT Services,Email Server,False,63,0.57,India,Low,High,2022-11-07,2023-01-06,CVE-2026-65880,False,False
THREAT-00075,Kimsuky,Supply Chain Attack,T1059 Command and Scripting Interpreter,Government,SaaS Application,False,91,0.56,Asia-Pacific,Low,Low,2024-01-30,2024-02-17,,False,True
THREAT-00076,Mustang Panda,Web Application Attack,T1003 OS Credential Dumping,E-commerce,SaaS Application,False,91,0.12,Americas,High,Low,2026-03-25,2026-08-02,,False,False
THREAT-00077,Kimsuky,Business Email Compromise,T1055 Process Injection,Manufacturing,Employee Laptop,False,8,0.22,Asia-Pacific,Medium,Medium,2026-05-29,2026-09-04,CVE-2026-54350,False,True
THREAT-00078,Nation-State (Iran),Zero-Day Exploit,T1082 System Information Discovery,E-commerce,Employee Laptop,True,42,0.37,Asia-Pacific,High,Low,2024-07-26,2025-03-26,CVE-2026-9475,False,False
THREAT-00079,REvil,Phishing,T1021 Remote Services,Insurance,Employee Laptop,False,31,0.57,EMEA,Low,High,2023-05-05,2023-06-22,CVE-2026-22609,False,False
THREAT-00080,ALPHV,Cloud Misconfiguration Exploitation,T1078 Valid Accounts,Energy,Storage Bucket,False,30,0.55,India,High,Low,2021-07-30,2021-08-26,,False,False
THREAT-00081,Mustang Panda,Ransomware,T1059 Command and Scripting Interpreter,Insurance,SaaS Application,False,35,0.76,Americas,Low,Low,2021-12-16,2022-12-04,CVE-2026-33076,True,True
THREAT-00082,Nation-State (Iran),Business Email Compromise,T1027 Obfuscated Files or Information,Energy,Cloud VM,False,63,0.13,Americas,Medium,High,2025-07-18,2025-09-24,CVE-2026-57472,False,False
THREAT-00083,Nation-State (Iran),Web Application Attack,T1566 Phishing,Government,Email Server,False,64,0.33,Asia-Pacific,Medium,Medium,2021-04-27,2021-09-01,CVE-2026-76609,False,True
THREAT-00084,Scattered Spider,Phishing,T1082 System Information Discovery,Manufacturing,Employee Laptop,False,74,0.45,Americas,High,Medium,2025-12-25,2026-07-04,,False,True
THREAT-00085,Nation-State (Iran),Credential Theft,T1027 Obfuscated Files or Information,Insurance,Web Server,True,17,0.44,India,Low,Low,2023-08-05,2024-04-30,,False,False
THREAT-00086,Script Kiddie,Insider Threat,T1562 Impair Defenses,Government,Email Server,False,8,0.12,Americas,Critical,High,2023-08-02,2024-07-29,CVE-2026-84187,False,True
THREAT-00087,Lazarus Group,Cryptojacking,T1003 OS Credential Dumping,Insurance,Domain Controller,True,56,0.28,Americas,Low,Medium,2024-12-08,2025-09-21,,False,False
THREAT-00088,Insider,Cloud Misconfiguration Exploitation,T1105 Ingress Tool Transfer,E-commerce,Email Server,True,46,0.23,Asia-Pacific,Medium,High,2024-08-19,2025-07-29,,False,True
THREAT-00089,Scattered Spider,Data Exfiltration,T1003 OS Credential Dumping,Healthcare,Kubernetes Cluster,False,88,0.46,Asia-Pacific,High,Medium,2023-09-09,2024-07-09,,False,True
THREAT-00090,Mustang Panda,Cryptojacking,T1562 Impair Defenses,Government,Cloud VM,False,68,0.34,Global,Medium,High,2021-03-27,2021-12-09,,False,False
THREAT-00091,LockBit,Supply Chain Attack,T1059 Command and Scripting Interpreter,Energy,API Gateway,False,13,0.44,India,High,Low,2026-02-23,2026-03-31,CVE-2026-81724,False,False
THREAT-00092,Nation-State (China),Web Application Attack,T1036 Masquerading,IT Services,Kubernetes Cluster,False,75,0.4,Asia-Pacific,Low,Low,2025-07-16,2025-09-20,,False,False
THREAT-00093,SilverFox,Cloud Misconfiguration Exploitation,T1048 Exfiltration Over Alternative Protocol,Energy,Cloud VM,False,35,0.1,Americas,Low,Low,2023-01-25,2023-07-23,,True,False
THREAT-00094,Hacktivist Group,Cryptojacking,T1566 Phishing,Manufacturing,Cloud VM,True,100,0.59,Global,Medium,Low,2021-12-23,2022-10-10,CVE-2026-85053,False,False
THREAT-00095,Cybercrime Syndicate,Credential Theft,T1071 Application Layer Protocol,Government,Storage Bucket,True,57,0.43,Asia-Pacific,Critical,High,2021-12-22,2022-04-05,CVE-2026-21082,False,False
THREAT-00096,Script Kiddie,Insider Threat,T1071 Application Layer Protocol,Energy,Storage Bucket,False,8,0.36,Americas,High,Medium,2022-08-14,2022-12-05,CVE-2026-66409,False,True
THREAT-00097,TA505,Supply Chain Attack,T1059 Command and Scripting Interpreter,Government,Cloud VM,False,51,0.3,EMEA,High,High,2022-07-03,2022-08-10,,False,False
THREAT-00098,Turla,Insider Threat,T1190 Exploit Public-Facing Application,Telecom,Email Server,False,4,0.31,Asia-Pacific,Critical,High,2022-12-10,2022-12-30,CVE-2026-73610,False,True
THREAT-00099,Conti,Web Application Attack,T1110 Brute Force,Energy,SaaS Application,False,99,0.27,Global,High,Medium,2022-05-29,2022-08-11,,True,False
THREAT-00100,Cybercrime Syndicate,Supply Chain Attack,T1078 Valid Accounts,Energy,Kubernetes Cluster,True,85,0.43,India,Low,Low,2023-07-31,2024-02-29,,False,True
THREAT-00101,Insider,Insider Threat,T1110 Brute Force,Telecom,Storage Bucket,True,6,0.2,Americas,Critical,High,2021-03-28,2021-11-20,CVE-2026-54159,False,True
THREAT-00102,APT28,Web Application Attack,T1569 System Services,Manufacturing,Database Server,False,90,0.3,EMEA,Critical,Medium,2024-09-21,2025-05-22,CVE-2026-84671,False,False
THREAT-00103,TA505,Insider Threat,T1486 Data Encrypted for Impact,Insurance,Employee Laptop,True,3,0.31,EMEA,High,Low,2022-10-30,2023-05-22,CVE-2026-73704,False,True
THREAT-00104,REvil,Business Email Compromise,T1078 Valid Accounts,IT Services,Web Server,False,59,0.41,EMEA,High,Medium,2022-11-06,2023-03-26,CVE-2026-19116,False,False
THREAT-00105,Turla,Web Application Attack,T1190 Exploit Public-Facing Application,Manufacturing,Email Server,False,74,0.26,Asia-Pacific,Low,Medium,2024-11-23,2025-06-01,CVE-2026-41065,False,True
THREAT-00106,Lazarus Group,Insider Threat,T1059 Command and Scripting Interpreter,E-commerce,Payment Gateway,False,8,0.39,Americas,Medium,High,2023-03-04,2023-05-21,CVE-2026-81678,False,True
THREAT-00107,Scattered Spider,Business Email Compromise,T1055 Process Injection,E-commerce,Domain Controller,False,34,0.55,Asia-Pacific,Low,High,2025-04-25,2025-10-08,,False,False
THREAT-00108,FIN7,Insider Threat,T1070 Indicator Removal,IT Services,Employee Laptop,True,7,0.31,EMEA,High,High,2025-11-11,2026-02-14,CVE-2026-53965,False,True
THREAT-00109,Script Kiddie,Insider Threat,T1133 External Remote Services,Education,Payment Gateway,False,6,0.25,Global,Medium,High,2022-11-03,2023-08-05,CVE-2026-0931,False,True
THREAT-00110,REvil,Business Email Compromise,T1486 Data Encrypted for Impact,Government,Payment Gateway,True,43,0.26,Asia-Pacific,Medium,High,2022-01-26,2022-05-19,,False,True
THREAT-00111,Kimsuky,DDoS,T1566 Phishing,Education,Email Server,True,185,0.72,Global,Critical,Medium,2021-07-02,2022-05-02,,False,False
THREAT-00112,REvil,Data Exfiltration,T1055 Process Injection,E-commerce,Payment Gateway,True,57,0.38,EMEA,Critical,High,2024-11-20,2025-05-11,,False,False
THREAT-00113,Lazarus Group,DDoS,T1036 Masquerading,Education,Domain Controller,False,87,0.53,Americas,Low,Medium,2023-03-11,2023-06-16,,False,False
THREAT-00114,SilverFox,Credential Theft,T1110 Brute Force,Government,Web Server,True,78,0.51,Global,High,Medium,2023-03-14,2023-04-18,,False,True
THREAT-00115,Script Kiddie,Data Exfiltration,T1190 Exploit Public-Facing Application,Energy,API Gateway,False,23,0.17,India,High,High,2023-09-29,2023-10-09,CVE-2026-66803,False,False
THREAT-00116,Kimsuky,Cloud Misconfiguration Exploitation,T1027 Obfuscated Files or Information,Manufacturing,Cloud VM,False,98,0.27,Global,Critical,High,2023-02-16,2023-08-27,,False,False
THREAT-00117,Unknown,Business Email Compromise,T1070 Indicator Removal,Healthcare,Storage Bucket,True,75,0.38,India,Low,Medium,2021-08-25,2022-06-15,,False,False
THREAT-00118,Unknown,Cloud Misconfiguration Exploitation,T1562 Impair Defenses,Energy,Kubernetes Cluster,False,8,0.59,Global,Medium,Low,2022-08-12,2023-08-06,,False,False
THREAT-00119,APT28,DDoS,T1190 Exploit Public-Facing Application,E-commerce,Payment Gateway,False,179,0.6,India,Medium,Low,2025-05-24,2026-02-07,CVE-2026-75592,False,False
THREAT-00120,APT28,Cloud Misconfiguration Exploitation,T1133 External Remote Services,Manufacturing,Kubernetes Cluster,False,17,0.14,EMEA,Low,Medium,2025-01-12,2025-05-19,CVE-2026-79183,False,False
THREAT-00121,Nation-State (China),Supply Chain Attack,T1021 Remote Services,E-commerce,Database Server,False,77,0.35,India,Medium,High,2024-07-05,2024-08-13,CVE-2026-80234,False,False
THREAT-00122,Nation-State (China),Phishing,T1105 Ingress Tool Transfer,Energy,Domain Controller,False,39,0.45,Americas,Critical,Low,2023-08-02,2024-02-13,,True,False
THREAT-00123,Nation-State (China),Business Email Compromise,T1566 Phishing,Energy,API Gateway,True,78,0.22,EMEA,Medium,Medium,2023-05-13,2024-04-24,,False,False
THREAT-00124,Lazarus Group,Insider Threat,T1078 Valid Accounts,IT Services,Kubernetes Cluster,False,5,0.31,EMEA,Low,High,2024-06-13,2024-12-29,,False,True
THREAT-00125,Conti,Cryptojacking,T1071 Application Layer Protocol,E-commerce,Payment Gateway,True,17,0.48,EMEA,Critical,High,2024-10-30,2025-06-30,,False,False
THREAT-00126,Nation-State (China),Cryptojacking,T1562 Impair Defenses,Education,Employee Laptop,False,68,0.1,Americas,Low,Medium,2025-01-30,2025-03-15,CVE-2026-80635,False,True
THREAT-00127,Nation-State (Russia),Supply Chain Attack,T1078 Valid Accounts,Manufacturing,Web Server,False,83,0.34,EMEA,Medium,Medium,2022-10-09,2023-07-04,,False,False
THREAT-00128,Script Kiddie,Cloud Misconfiguration Exploitation,T1070 Indicator Removal,Healthcare,Cloud VM,False,20,0.35,EMEA,High,High,2025-12-29,2026-08-17,CVE-2026-60118,False,False
THREAT-00129,ALPHV,Data Exfiltration,T1071 Application Layer Protocol,Manufacturing,Domain Controller,False,86,0.34,India,High,Medium,2026-06-21,2026-09-04,,False,False
THREAT-00130,REvil,Credential Theft,T1486 Data Encrypted for Impact,Government,Kubernetes Cluster,True,35,0.12,Americas,Medium,Low,2025-01-28,2025-10-19,,False,False
THREAT-00131,APT29,Zero-Day Exploit,T1021 Remote Services,Telecom,API Gateway,False,31,0.59,Global,Critical,High,2021-12-05,2022-10-21,,False,False
THREAT-00132,Mustang Panda,Credential Theft,T1105 Ingress Tool Transfer,E-commerce,Cloud VM,True,38,0.23,Americas,Critical,High,2024-06-08,2025-05-22,,False,False
THREAT-00133,Nation-State (Iran),Business Email Compromise,T1566 Phishing,Healthcare,Database Server,True,51,0.18,India,Medium,Low,2022-08-18,2022-10-10,,False,False
THREAT-00134,APT28,Zero-Day Exploit,T1562 Impair Defenses,Energy,Cloud VM,False,76,0.23,EMEA,Critical,Low,2026-02-18,2026-09-04,,False,False
THREAT-00135,ALPHV,Phishing,T1082 System Information Discovery,IT Services,SaaS Application,False,23,0.4,EMEA,Critical,Medium,2021-03-26,2021-09-06,CVE-2026-78333,False,False
THREAT-00136,Unknown,Credential Theft,T1110 Brute Force,Manufacturing,Storage Bucket,True,62,0.6,Americas,Medium,High,2025-05-20,2025-12-25,CVE-2026-72812,False,False
THREAT-00137,TA505,Cloud Misconfiguration Exploitation,T1566 Phishing,Energy,Database Server,True,31,0.2,Americas,Low,High,2023-08-25,2024-06-09,CVE-2026-5996,False,True
THREAT-00138,Turla,Supply Chain Attack,T1048 Exfiltration Over Alternative Protocol,Energy,Storage Bucket,False,99,0.11,Global,Critical,Medium,2025-05-26,2025-09-18,,False,True
THREAT-00139,Lazarus Group,Cryptojacking,T1190 Exploit Public-Facing Application,Insurance,Kubernetes Cluster,False,27,0.55,Asia-Pacific,High,Low,2021-10-28,2022-02-22,,True,True
THREAT-00140,LockBit,Cloud Misconfiguration Exploitation,T1055 Process Injection,Healthcare,Domain Controller,False,67,0.5,EMEA,High,Medium,2023-12-23,2024-10-22,,False,False
THREAT-00141,Nation-State (Iran),Supply Chain Attack,T1059 Command and Scripting Interpreter,IT Services,Cloud VM,False,88,0.24,Asia-Pacific,High,Low,2023-09-28,2023-10-21,CVE-2026-65888,False,False
THREAT-00142,Turla,Data Exfiltration,T1110 Brute Force,Energy,Web Server,True,32,0.43,Americas,High,Low,2022-05-17,2022-07-15,CVE-2026-54463,False,False
THREAT-00143,Sandworm,DDoS,T1059 Command and Scripting Interpreter,Manufacturing,Cloud VM,False,185,0.79,Global,Critical,High,2021-03-30,2021-09-18,CVE-2026-72748,False,False
THREAT-00144,Unknown,Supply Chain Attack,T1082 System Information Discovery,E-commerce,Domain Controller,False,44,0.52,Americas,Low,Medium,2023-12-29,2024-05-18,,True,True
THREAT-00145,SilverFox,Data Exfiltration,T1082 System Information Discovery,Energy,SaaS Application,True,12,0.18,EMEA,High,High,2025-02-24,2026-02-12,CVE-2026-77998,False,False
THREAT-00146,FIN7,Data Exfiltration,T1190 Exploit Public-Facing Application,E-commerce,Storage Bucket,False,63,0.19,Global,Medium,Medium,2022-09-28,2023-06-11,,False,False
THREAT-00147,Scattered Spider,Phishing,T1055 Process Injection,Government,Email Server,False,17,0.45,India,Critical,Low,2021-12-10,2022-04-10,,False,True
THREAT-00148,Kimsuky,Zero-Day Exploit,T1569 System Services,Education,Email Server,True,52,0.31,Global,Critical,Medium,2024-09-02,2024-09-14,CVE-2026-75038,False,True
THREAT-00149,Hacktivist Group,Supply Chain Attack,T1070 Indicator Removal,IT Services,SaaS Application,False,26,0.13,Global,Critical,Low,2023-12-11,2023-12-19,CVE-2026-73702,False,False
THREAT-00150,Nation-State (Iran),Phishing,T1110 Brute Force,E-commerce,Payment Gateway,True,57,0.54,Asia-Pacific,High,High,2026-01-06,2026-06-28,,True,False
THREAT-00151,TA505,Insider Threat,T1562 Impair Defenses,E-commerce,Cloud VM,False,5,0.27,Asia-Pacific,High,High,2024-09-09,2025-01-19,,False,True
THREAT-00152,LockBit,Web Application Attack,T1036 Masquerading,Healthcare,Kubernetes Cluster,True,71,0.5,India,Medium,Low,2024-10-09,2025-03-08,,False,False
