asset_id,organization_id,business_unit_id,asset_name,asset_type,operating_system,environment,cloud_provider,region,internet_exposed,asset_owner,business_service,data_classification,asset_criticality,confidentiality_score,integrity_score,availability_score,revenue_dependency,customer_dependency,regulatory_dependency,dependency_count,asset_age_days,current_risk_score
AST-00081,ORG-025,BU-0152,IoT Device 81,IoT Device,Embedded,Production,Azure,ap-south-1,False,owner_336@corp.com,Security Ops,Confidential,Medium,5,3,4,0.31,0.29,0.34,1,638,3.6
AST-00082,ORG-013,BU-0081,Firewall 82,Firewall,Proprietary,Production,On-Premise,ap-south-1,True,owner_477@corp.com,Security Ops,Highly Confidential,High,8,6,7,0.69,0.93,0.97,2,2485,7.8
AST-00083,ORG-016,BU-0101,CI/CD Server 83,CI/CD Server,Linux,Development,On-Premise,ap-southeast-1,False,owner_21@corp.com,API Platform,Public,Low,1,3,1,0.15,0.14,0.45,8,2152,2.4
AST-00084,ORG-021,BU-0128,Database Server 84,Database Server,Linux,Production,Azure,us-east-1,True,owner_399@corp.com,API Platform,Confidential,Critical,10,8,10,0.82,0.31,0.49,9,1218,9.4
AST-00085,ORG-022,BU-0133,Network Device 85,Network Device,Proprietary,Production,On-Premise,ap-southeast-1,True,owner_33@corp.com,CRM,Confidential,High,8,7,9,0.4,0.58,0.38,6,370,10
AST-00086,ORG-006,BU-0037,Workstation 86,Workstation,Ubuntu 22.04,Development,GCP,eu-west-1,False,owner_191@corp.com,API Platform,Internal,Medium,6,5,3,0.42,0.29,0.17,8,1253,4.9
AST-00087,ORG-023,BU-0136,Storage Bucket 87,Storage Bucket,N/A,Production,On-Premise,ap-south-1,False,owner_313@corp.com,Supply Chain,Confidential,Critical,8,8,8,0.44,0.34,0.06,2,664,9.5
AST-00088,ORG-025,BU-0150,File Server 88,File Server,Windows Server 2019,Production,Azure,ap-southeast-1,True,owner_306@corp.com,CRM,Highly Confidential,Critical,10,10,8,0.95,0.66,0.8,11,393,7.3
AST-00089,ORG-011,BU-0067,Employee Laptop 89,Employee Laptop,Windows 11,Production,GCP,ap-south-1,False,owner_138@corp.com,Supply Chain,Confidential,High,8,9,7,0.69,0.28,0.46,6,2493,9.5
AST-00090,ORG-024,BU-0146,VPN Gateway 90,VPN Gateway,Linux,Production,AWS,eu-west-1,True,owner_77@corp.com,HR System,Highly Confidential,Critical,10,10,10,0.7,0.45,0.72,15,104,9.8
AST-00091,ORG-009,BU-0054,Payment Gateway 91,Payment Gateway,Linux,Production,On-Premise,eu-west-1,False,owner_364@corp.com,HR System,Highly Confidential,Critical,9,10,8,0.73,0.17,0.69,7,1063,7.2
AST-00092,ORG-023,BU-0139,Storage Bucket 92,Storage Bucket,N/A,Development,GCP,ap-south-1,False,owner_428@corp.com,Security Ops,Highly Confidential,Medium,5,6,5,0.42,0.03,0.58,9,1392,5.7
AST-00093,ORG-014,BU-0084,Email Server 93,Email Server,Linux,Production,AWS,us-east-1,True,owner_267@corp.com,DevOps Pipeline,Confidential,Medium,5,3,4,0.05,0.84,0.05,12,1311,6.1
AST-00094,ORG-019,BU-0116,Email Server 94,Email Server,Linux,Production,AWS,us-east-1,False,owner_42@corp.com,HR System,Confidential,High,8,9,7,0.99,0.05,0.07,5,1465,7.8
AST-00095,ORG-012,BU-0069,IoT Device 95,IoT Device,Embedded,Production,Azure,ap-south-1,False,owner_424@corp.com,ERP,Highly Confidential,Critical,10,10,8,0.49,0.21,0.7,9,1173,10
AST-00096,ORG-021,BU-0128,Storage Bucket 96,Storage Bucket,N/A,Production,AWS,ap-southeast-1,False,owner_58@corp.com,Core Banking,Confidential,High,6,8,7,0.99,0.14,0.27,11,2065,8.4
AST-00097,ORG-016,BU-0097,Network Device 97,Network Device,Proprietary,Production,On-Premise,eu-west-1,True,owner_205@corp.com,Security Ops,Highly Confidential,Critical,10,9,10,0.59,0.5,0.54,4,711,10
AST-00098,ORG-015,BU-0091,Network Device 98,Network Device,Proprietary,Production,GCP,ap-southeast-1,False,owner_367@corp.com,Security Ops,Highly Confidential,High,7,6,6,0.52,0.07,0.67,4,418,5.6
AST-00099,ORG-021,BU-0125,CI/CD Server 99,CI/CD Server,Linux,Development,GCP,ap-south-1,False,owner_130@corp.com,DevOps Pipeline,Highly Confidential,Low,1,1,2,0.3,0.1,0.91,13,1487,1.5
AST-00100,ORG-022,BU-0129,Employee Laptop 100,Employee Laptop,Windows 11,Production,On-Premise,ap-southeast-1,False,owner_97@corp.com,API Platform,Highly Confidential,High,9,9,9,0.3,0.2,0.67,13,1865,6.7
AST-00101,ORG-015,BU-0089,Email Server 101,Email Server,Linux,Production,On-Premise,us-east-1,True,owner_401@corp.com,Communication,Confidential,High,9,6,9,0.78,0.78,0.34,14,289,6.9
AST-00102,ORG-011,BU-0066,Workstation 102,Workstation,Ubuntu 22.04,Development,On-Premise,us-east-1,False,owner_430@corp.com,Security Ops,Public,Low,1,2,3,0.29,0.13,0.43,1,886,1.9
AST-00103,ORG-003,BU-0014,SaaS Application 103,SaaS Application,SaaS,Production,Azure,eu-west-1,True,owner_489@corp.com,Data Analytics,Confidential,High,9,8,8,0.47,0.58,0.05,9,1026,9.9
AST-00104,ORG-005,BU-0029,Kubernetes Cluster 104,Kubernetes Cluster,Linux,Staging,GCP,us-east-1,False,owner_128@corp.com,ERP,Confidential,Medium,6,3,5,0.3,0.13,0.06,0,872,4.7
AST-00105,ORG-021,BU-0125,File Server 105,File Server,Linux,Production,Azure,eu-west-1,True,owner_327@corp.com,Payment Processing,Confidential,High,7,6,8,0.6,0.77,0.31,9,2115,7.6
AST-00106,ORG-007,BU-0042,Employee Laptop 106,Employee Laptop,macOS Ventura,Production,GCP,ap-southeast-1,False,owner_306@corp.com,Communication,Highly Confidential,Medium,3,4,3,0.08,0.05,0.51,2,1701,4.2
AST-00107,ORG-014,BU-0085,Payment Gateway 107,Payment Gateway,Linux,Production,On-Premise,ap-southeast-1,False,owner_284@corp.com,DevOps Pipeline,Highly Confidential,High,8,6,6,0.83,0.07,0.62,12,1413,6.2
AST-00108,ORG-018,BU-0115,Domain Controller 108,Domain Controller,Windows Server 2022,Production,On-Premise,us-east-1,False,owner_192@corp.com,Email,Highly Confidential,High,9,7,9,0.63,0.01,0.99,11,1349,4.2
AST-00109,ORG-013,BU-0080,Email Server 109,Email Server,Windows Server 2019,Production,GCP,ap-southeast-1,False,owner_103@corp.com,Supply Chain,Confidential,High,9,8,9,0.4,0.09,0.32,9,1673,7.1
AST-00110,ORG-001,BU-0005,Database Server 110,Database Server,Windows Server 2019,Production,On-Premise,us-east-1,True,owner_221@corp.com,Customer Portal,Highly Confidential,High,8,7,6,0.45,0.8,0.9,8,2109,10
AST-00111,ORG-019,BU-0120,File Server 111,File Server,Linux,Production,GCP,ap-south-1,False,owner_72@corp.com,Data Analytics,Highly Confidential,High,6,9,7,0.43,0.29,0.9,11,1711,8.3
AST-00112,ORG-009,BU-0054,Domain Controller 112,Domain Controller,Windows Server 2022,Production,GCP,eu-west-1,False,owner_146@corp.com,ERP,Highly Confidential,Critical,9,10,9,0.66,0.01,0.63,14,1119,7.5
AST-00113,ORG-014,BU-0084,Workstation 113,Workstation,Ubuntu 22.04,Development,AWS,us-east-1,False,owner_376@corp.com,Customer Portal,Internal,Low,1,1,1,0.44,0.1,0.39,8,1495,1.4
AST-00114,ORG-025,BU-0150,CI/CD Server 114,CI/CD Server,Linux,Development,AWS,us-east-1,False,owner_117@corp.com,Security Ops,Public,Low,1,2,1,0.08,0.09,0.41,4,1956,1.5
AST-00115,ORG-016,BU-0099,Cloud VM 115,Cloud VM,Windows Server 2022,Production,GCP,ap-southeast-1,False,owner_302@corp.com,Security Ops,Confidential,High,6,9,9,0.44,0.29,0.3,11,1692,7.3
AST-00116,ORG-007,BU-0042,Database Server 116,Database Server,Windows Server 2019,Production,On-Premise,eu-west-1,False,owner_373@corp.com,Core Banking,Highly Confidential,High,8,9,6,0.95,0.03,0.85,0,2363,8.8
AST-00117,ORG-002,BU-0007,API Gateway 117,API Gateway,Linux,Production,AWS,us-east-1,True,owner_137@corp.com,Communication,Confidential,Critical,8,9,10,0.74,0.6,0.49,7,1411,10
AST-00118,ORG-023,BU-0138,Payment Gateway 118,Payment Gateway,Linux,Production,AWS,ap-south-1,False,owner_191@corp.com,Core Banking,Highly Confidential,Critical,10,8,9,0.56,0.4,0.99,11,1691,6.8
AST-00119,ORG-012,BU-0073,VPN Gateway 119,VPN Gateway,Linux,Production,GCP,eu-west-1,False,owner_65@corp.com,HR System,Confidential,Critical,8,9,10,0.9,0.27,0.42,6,1380,6.6
AST-00120,ORG-007,BU-0039,Email Server 120,Email Server,Linux,Production,On-Premise,eu-west-1,False,owner_485@corp.com,CRM,Highly Confidential,High,7,8,6,0.39,0.28,0.97,15,1104,7.3
AST-00121,ORG-007,BU-0039,VPN Gateway 121,VPN Gateway,Linux,Production,AWS,us-east-1,True,owner_376@corp.com,HR System,Highly Confidential,Critical,10,9,9,0.44,0.87,0.52,3,1842,10
AST-00122,ORG-010,BU-0060,API Gateway 122,API Gateway,Linux,Production,GCP,eu-west-1,False,owner_252@corp.com,Communication,Confidential,High,6,9,7,0.31,0.31,0.25,9,2458,6.7
AST-00123,ORG-021,BU-0126,Web Server 123,Web Server,Windows Server 2022,Staging,AWS,ap-south-1,False,owner_153@corp.com,Customer Portal,Internal,Medium,6,5,5,0.41,0.19,0.12,11,1598,5.6
AST-00124,ORG-004,BU-0020,API Gateway 124,API Gateway,Linux,Staging,On-Premise,eu-west-1,False,owner_319@corp.com,CRM,Public,Medium,5,3,5,0.38,0.33,0.25,12,1502,5.4
AST-00125,ORG-007,BU-0038,Payment Gateway 125,Payment Gateway,Linux,Production,On-Premise,eu-west-1,False,owner_470@corp.com,Payment Processing,Confidential,High,8,8,6,0.79,0.38,0.35,13,2103,5.7
AST-00126,ORG-017,BU-0107,Cloud VM 126,Cloud VM,Linux,Testing,On-Premise,us-east-1,False,owner_472@corp.com,Payment Processing,Highly Confidential,Low,2,3,1,0.35,0.37,0.83,7,472,1.9
AST-00127,ORG-007,BU-0040,Storage Bucket 127,Storage Bucket,N/A,Development,On-Premise,ap-south-1,False,owner_457@corp.com,Supply Chain,Public,Low,1,3,2,0.33,0.1,0.44,8,992,1.1
AST-00128,ORG-006,BU-0033,Network Device 128,Network Device,Proprietary,Production,AWS,ap-southeast-1,False,owner_230@corp.com,Communication,Confidential,High,8,6,7,0.66,0.33,0.35,7,2139,4.4
