remediation_id,vulnerability_id,asset_id,recommended_action,action_category,estimated_cost,implementation_time_days,expected_risk_reduction,expected_loss_reduction,priority,required_control,dependency,recommended_deadline,status
REM-000020,VULN-016219,AST-04878,Patch vulnerability,Patching,15895,3,49.4,193352,Medium,CTRL-0101,None,2026-09-14,Completed
REM-000021,VULN-003556,AST-05692,Disable account,Identity,2858,7,24.0,42857,High,CTRL-0119,Requires budget approval,2026-09-19,Overdue
REM-000022,VULN-025533,AST-02947,Encrypt database,Data Protection,61314,17,17.5,248561,Medium,CTRL-0359,Requires downtime window,2026-10-04,Overdue
REM-000023,VULN-010959,AST-03868,Encrypt database,Data Protection,59384,13,24.5,434181,Low,CTRL-0222,Requires vendor coordination,2026-09-27,Pending
REM-000024,VULN-013935,AST-04307,Apply least privilege,Identity,33573,12,38.8,266617,High,CTRL-0061,Requires vendor coordination,2026-09-26,In Progress
REM-000025,VULN-026171,AST-00577,Encrypt database,Data Protection,81494,13,24.9,885706,Medium,CTRL-0200,Requires change approval,2026-09-17,Pending
REM-000026,VULN-019021,AST-00776,Deploy EDR,Endpoint,63261,13,50.3,545832,High,CTRL-0018,Requires vendor coordination,2026-09-23,In Progress
REM-000027,VULN-008432,AST-02727,Network segmentation,Network,112769,34,27.7,1551584,High,CTRL-0257,Requires change approval,2026-10-09,Completed
REM-000028,VULN-012659,AST-07753,Network segmentation,Network,152619,35,33.8,1931928,High,CTRL-0357,Requires vendor coordination,2026-10-19,Overdue
REM-000029,VULN-019393,AST-03100,Deploy EDR,Endpoint,90088,20,47.8,1226792,Medium,CTRL-0392,Requires downtime window,2026-10-05,In Progress
REM-000030,VULN-026901,AST-01390,Network segmentation,Network,111485,39,32.2,1192673,Medium,CTRL-0257,Requires downtime window,2026-10-14,Pending
REM-000031,VULN-001242,AST-07743,Network segmentation,Network,159278,37,30.3,1194086,Low,CTRL-0093,Requires vendor coordination,2026-10-18,Completed
REM-000032,VULN-002124,AST-08919,Fix cloud configuration,Cloud,10501,11,33.0,78482,Medium,CTRL-0280,None,2026-09-19,Pending
REM-000033,VULN-018801,AST-04565,Network segmentation,Network,192346,34,31.8,2467133,High,CTRL-0288,Requires downtime window,2026-10-15,Pending
REM-000034,VULN-016464,AST-01465,Apply least privilege,Identity,30966,16,28.5,346187,Critical,CTRL-0047,Requires budget approval,2026-09-21,Pending
REM-000035,VULN-025929,AST-00028,Upgrade firewall,Network,299847,20,34.5,3783223,Medium,CTRL-0336,Requires vendor coordination,2026-10-07,In Progress
REM-000036,VULN-029221,AST-04922,Disable account,Identity,1579,3,18.8,17972,Critical,CTRL-0345,Requires downtime window,2026-09-19,Completed
REM-000037,VULN-008363,AST-04601,Enable MFA,Identity,25589,7,28.9,346747,Medium,CTRL-0146,Requires vendor coordination,2026-09-25,Completed
REM-000038,VULN-027775,AST-06121,Encrypt database,Data Protection,66800,20,24.3,556993,Low,CTRL-0018,None,2026-09-24,Pending
REM-000039,VULN-016386,AST-06970,Patch vulnerability,Patching,15491,9,54.9,114555,Low,CTRL-0317,None,2026-09-26,Pending
REM-000040,VULN-022781,AST-05804,Enable backup,Resilience,35754,15,48.0,277140,Critical,CTRL-0349,None,2026-09-30,Pending
REM-000041,VULN-002928,AST-05079,Upgrade firewall,Network,261880,19,28.0,1522578,High,CTRL-0101,Requires vendor coordination,2026-09-27,Completed
REM-000042,VULN-020767,AST-04189,Network segmentation,Network,188701,34,41.2,1023169,High,CTRL-0103,Requires vendor coordination,2026-10-09,Completed
REM-000043,VULN-009246,AST-02519,Network segmentation,Network,187843,36,37.6,2522586,High,CTRL-0003,Requires budget approval,2026-10-23,Pending
REM-000044,VULN-018150,AST-00689,Deploy EDR,Endpoint,101232,23,33.6,1210920,Medium,CTRL-0078,Requires downtime window,2026-10-07,Overdue
REM-000045,VULN-025935,AST-07572,Network segmentation,Network,160519,33,28.9,1561579,Medium,CTRL-0213,Requires downtime window,2026-10-11,In Progress
REM-000046,VULN-029703,AST-08765,Patch vulnerability,Patching,13990,11,62.2,44144,High,CTRL-0227,Requires budget approval,2026-09-28,Pending
REM-000047,VULN-009995,AST-09569,Enable MFA,Identity,26843,5,46.4,353517,High,CTRL-0363,None,2026-09-16,Completed
REM-000048,VULN-018685,AST-05024,Disable account,Identity,2340,7,14.5,31710,High,CTRL-0217,None,2026-09-22,In Progress
REM-000049,VULN-023485,AST-09591,Disable account,Identity,2688,3,21.4,35508,High,CTRL-0317,Requires budget approval,2026-09-19,Pending
REM-000050,VULN-010069,AST-03543,Fix cloud configuration,Cloud,9708,1,22.0,122664,Medium,CTRL-0285,Requires change approval,2026-09-19,Overdue
REM-000051,VULN-008751,AST-02463,Deploy EDR,Endpoint,62061,14,35.2,544231,Low,CTRL-0009,None,2026-10-01,Pending
REM-000052,VULN-022109,AST-01668,Increase monitoring,Monitoring,48696,10,14.9,228664,Medium,CTRL-0389,Requires change approval,2026-09-18,Pending
REM-000053,VULN-025735,AST-00221,Fix cloud configuration,Cloud,9861,4,30.1,110532,Low,CTRL-0178,Requires change approval,2026-09-14,In Progress
REM-000054,VULN-002918,AST-03997,Patch vulnerability,Patching,16956,1,63.2,238906,Medium,CTRL-0069,Requires downtime window,2026-09-06,Completed
REM-000055,VULN-028028,AST-01801,Patch vulnerability,Patching,20518,2,54.7,284542,High,CTRL-0275,Requires vendor coordination,2026-09-18,In Progress
REM-000056,VULN-002400,AST-00726,Increase monitoring,Monitoring,55176,14,23.0,609391,High,CTRL-0240,Requires change approval,2026-09-29,Completed
REM-000057,VULN-008376,AST-05150,Deploy EDR,Endpoint,109223,17,45.6,601992,Low,CTRL-0235,None,2026-09-23,In Progress
REM-000058,VULN-013156,AST-08545,Deploy EDR,Endpoint,108521,11,45.9,1475273,Medium,CTRL-0336,Requires change approval,2026-09-17,Completed
REM-000059,VULN-024490,AST-00323,Network segmentation,Network,189058,28,38.8,1730996,High,CTRL-0003,Requires budget approval,2026-10-12,Pending
REM-000060,VULN-018093,AST-00890,Fix cloud configuration,Cloud,14978,2,22.9,211535,Low,CTRL-0156,Requires budget approval,2026-09-08,Completed
REM-000061,VULN-015638,AST-03584,Patch vulnerability,Patching,10808,12,48.1,93929,Low,CTRL-0154,None,2026-09-16,Completed
REM-000062,VULN-003118,AST-00464,Enable MFA,Identity,15928,14,42.3,235930,Low,CTRL-0118,None,2026-09-19,In Progress
REM-000063,VULN-003074,AST-02299,Fix cloud configuration,Cloud,9429,11,22.4,63337,High,CTRL-0132,Requires downtime window,2026-09-28,In Progress
REM-000064,VULN-028011,AST-05739,Enable MFA,Identity,29142,17,45.0,420293,High,CTRL-0113,Requires vendor coordination,2026-09-26,Overdue
REM-000065,VULN-024089,AST-02925,Deploy EDR,Endpoint,86294,16,40.7,946422,Critical,CTRL-0005,Requires downtime window,2026-10-01,In Progress
REM-000066,VULN-011497,AST-08901,Network segmentation,Network,198758,31,38.2,1720757,Medium,CTRL-0110,None,2026-10-16,Pending
REM-000067,VULN-003799,AST-05266,Fix cloud configuration,Cloud,10260,7,35.1,78888,Critical,CTRL-0311,Requires downtime window,2026-09-11,Overdue
REM-000068,VULN-015354,AST-05908,Patch vulnerability,Patching,17500,11,62.5,206960,High,CTRL-0014,Requires downtime window,2026-09-23,Pending
REM-000069,VULN-025441,AST-03870,Deploy EDR,Endpoint,98713,13,33.2,327329,High,CTRL-0142,Requires downtime window,2026-09-23,Pending
REM-000070,VULN-018150,AST-00689,Fix cloud configuration,Cloud,13412,9,29.1,178256,Medium,CTRL-0271,Requires downtime window,2026-09-22,Pending
REM-000071,VULN-007887,AST-06528,Apply least privilege,Identity,30765,20,25.2,102949,High,CTRL-0341,Requires downtime window,2026-09-30,Completed
REM-000072,VULN-017533,AST-09863,Enable MFA,Identity,24872,4,34.0,226864,High,CTRL-0237,None,2026-09-11,In Progress
REM-000073,VULN-009678,AST-00421,Upgrade firewall,Network,266012,22,26.4,1309451,High,CTRL-0346,None,2026-10-10,Pending
REM-000074,VULN-005381,AST-08611,Fix cloud configuration,Cloud,13396,11,29.0,122607,Low,CTRL-0046,None,2026-09-18,Pending
REM-000075,VULN-024358,AST-09664,Fix cloud configuration,Cloud,13157,7,35.7,68896,Critical,CTRL-0021,Requires downtime window,2026-09-19,Pending
REM-000076,VULN-018029,AST-03595,Deploy EDR,Endpoint,101250,11,49.2,1417944,Medium,CTRL-0052,Requires change approval,2026-09-29,Pending
REM-000077,VULN-003312,AST-00582,Encrypt database,Data Protection,73454,8,26.9,503497,High,CTRL-0222,None,2026-09-12,Overdue
REM-000078,VULN-004986,AST-04856,Apply least privilege,Identity,36293,10,33.0,162980,Medium,CTRL-0025,None,2026-09-14,In Progress
REM-000079,VULN-012646,AST-09476,Network segmentation,Network,196497,28,34.8,1110306,High,CTRL-0029,Requires downtime window,2026-10-16,Completed
REM-000080,VULN-015749,AST-08565,Deploy EDR,Endpoint,59754,21,36.6,696480,Medium,CTRL-0238,None,2026-10-04,Completed
REM-000081,VULN-010876,AST-07562,Enable backup,Resilience,33663,5,40.1,148972,Critical,CTRL-0037,Requires downtime window,2026-09-10,In Progress
REM-000082,VULN-028567,AST-06193,Disable account,Identity,2798,1,20.4,10827,Medium,CTRL-0128,None,2026-09-13,In Progress
REM-000083,VULN-006535,AST-06371,Fix cloud configuration,Cloud,10611,1,35.3,97341,Low,CTRL-0294,Requires budget approval,2026-09-17,Pending
REM-000084,VULN-006965,AST-02731,Upgrade firewall,Network,181235,29,29.4,2007580,Critical,CTRL-0167,None,2026-10-06,Pending
REM-000085,VULN-004552,AST-01366,Encrypt database,Data Protection,63391,12,22.2,553087,Medium,CTRL-0045,Requires vendor coordination,2026-09-24,Completed
REM-000086,VULN-010500,AST-07560,Enable MFA,Identity,16124,13,47.8,114336,Low,CTRL-0334,None,2026-09-26,Pending
REM-000087,VULN-027545,AST-09219,Upgrade firewall,Network,271883,24,25.3,4021810,Low,CTRL-0352,Requires vendor coordination,2026-10-03,Pending
REM-000088,VULN-005131,AST-02700,Fix cloud configuration,Cloud,12440,10,28.8,59521,Medium,CTRL-0284,Requires change approval,2026-09-18,Completed
REM-000089,VULN-017025,AST-09679,Increase monitoring,Monitoring,61827,8,19.5,584730,Low,CTRL-0161,Requires downtime window,2026-09-15,In Progress
REM-000090,VULN-001266,AST-05748,Deploy EDR,Endpoint,68979,11,47.2,568222,High,CTRL-0219,Requires vendor coordination,2026-09-28,Completed
REM-000091,VULN-024444,AST-08221,Increase monitoring,Monitoring,55302,16,17.4,761757,Low,CTRL-0261,Requires change approval,2026-09-24,Overdue
REM-000092,VULN-027011,AST-09004,Increase monitoring,Monitoring,41275,17,14.6,183032,High,CTRL-0265,Requires change approval,2026-10-03,Pending
REM-000093,VULN-016856,AST-01908,Apply least privilege,Identity,37685,10,33.3,341431,Medium,CTRL-0118,Requires change approval,2026-09-15,In Progress
REM-000094,VULN-014403,AST-03790,Patch vulnerability,Patching,16953,12,43.1,217587,Medium,CTRL-0206,Requires downtime window,2026-09-20,Pending
REM-000095,VULN-021834,AST-07672,Patch vulnerability,Patching,21145,5,57.2,90038,High,CTRL-0385,None,2026-09-16,Pending
REM-000096,VULN-017803,AST-06636,Patch vulnerability,Patching,17634,7,59.8,216443,Medium,CTRL-0252,None,2026-09-20,In Progress
REM-000097,VULN-006419,AST-08068,Fix cloud configuration,Cloud,9477,1,33.6,131675,Low,CTRL-0375,None,2026-09-19,Pending
REM-000098,VULN-009228,AST-06801,Fix cloud configuration,Cloud,13147,10,32.4,62372,Low,CTRL-0261,None,2026-09-17,In Progress
REM-000099,VULN-012001,AST-01640,Disable account,Identity,1456,7,19.6,11382,Medium,CTRL-0013,None,2026-09-21,In Progress
REM-000100,VULN-021677,AST-02573,Upgrade firewall,Network,155755,22,27.3,683693,Medium,CTRL-0022,Requires vendor coordination,2026-09-28,In Progress
REM-000101,VULN-016013,AST-04739,Apply least privilege,Identity,39008,17,34.0,485164,High,CTRL-0175,Requires budget approval,2026-09-29,Completed
REM-000102,VULN-020898,AST-04563,Upgrade firewall,Network,273399,23,32.6,2139315,Low,CTRL-0029,None,2026-09-30,Overdue
REM-000103,VULN-017475,AST-01890,Enable MFA,Identity,17352,11,40.7,76455,High,CTRL-0168,Requires budget approval,2026-09-15,Completed
REM-000104,VULN-006624,AST-00436,Encrypt database,Data Protection,62307,10,25.6,665697,Low,CTRL-0139,Requires change approval,2026-09-25,Completed
REM-000105,VULN-021591,AST-08169,Deploy EDR,Endpoint,106173,13,42.5,575124,Medium,CTRL-0148,Requires change approval,2026-09-20,Pending
REM-000106,VULN-006575,AST-01447,Enable MFA,Identity,19234,15,38.4,160880,Critical,CTRL-0353,None,2026-10-01,Completed
REM-000107,VULN-011824,AST-04231,Patch vulnerability,Patching,14373,3,62.0,90348,Low,CTRL-0364,None,2026-09-07,In Progress
REM-000108,VULN-027010,AST-01809,Enable MFA,Identity,27827,17,41.5,391536,High,CTRL-0020,Requires downtime window,2026-09-27,In Progress
REM-000109,VULN-005102,AST-01299,Fix cloud configuration,Cloud,13897,10,24.7,202129,High,CTRL-0311,Requires vendor coordination,2026-09-18,Pending
REM-000110,VULN-017088,AST-09598,Upgrade firewall,Network,141398,23,32.3,1186246,High,CTRL-0368,Requires budget approval,2026-09-29,Pending
REM-000111,VULN-027789,AST-03854,Increase monitoring,Monitoring,59281,12,23.1,782945,Medium,CTRL-0110,Requires change approval,2026-09-29,Pending
REM-000112,VULN-010947,AST-04026,Upgrade firewall,Network,178766,26,32.7,2580972,Medium,CTRL-0145,Requires change approval,2026-10-05,In Progress
REM-000113,VULN-017202,AST-08686,Apply least privilege,Identity,30286,15,39.2,172863,Medium,CTRL-0351,None,2026-10-03,Pending
REM-000114,VULN-029348,AST-04072,Upgrade firewall,Network,270553,19,29.3,2393100,Critical,CTRL-0309,Requires budget approval,2026-10-02,Pending
REM-000115,VULN-010145,AST-01694,Fix cloud configuration,Cloud,11514,8,28.3,171817,Low,CTRL-0248,Requires vendor coordination,2026-09-14,Completed
REM-000116,VULN-008876,AST-09426,Network segmentation,Network,210816,27,34.0,2606281,Critical,CTRL-0261,Requires budget approval,2026-10-07,In Progress
REM-000117,VULN-005772,AST-07718,Apply least privilege,Identity,41732,13,28.7,466564,High,CTRL-0248,Requires budget approval,2026-09-28,Pending
REM-000118,VULN-020749,AST-03047,Patch vulnerability,Patching,18369,1,59.6,266632,Low,CTRL-0105,Requires downtime window,2026-09-06,Pending
REM-000119,VULN-017487,AST-03644,Enable MFA,Identity,18490,7,46.5,146168,Medium,CTRL-0135,Requires downtime window,2026-09-20,Overdue
REM-000120,VULN-004160,AST-01775,Enable MFA,Identity,27763,15,41.8,125590,Low,CTRL-0386,None,2026-09-24,Completed
REM-000121,VULN-005184,AST-07657,Encrypt database,Data Protection,70452,7,23.2,362312,High,CTRL-0162,Requires downtime window,2026-09-12,Pending
REM-000122,VULN-029304,AST-05509,Increase monitoring,Monitoring,58037,15,23.6,558832,Medium,CTRL-0327,None,2026-10-02,Completed
REM-000123,VULN-005545,AST-07020,Increase monitoring,Monitoring,67532,8,23.1,293411,Critical,CTRL-0014,Requires vendor coordination,2026-09-13,Pending
REM-000124,VULN-026104,AST-04727,Disable account,Identity,2634,3,18.9,37834,High,CTRL-0307,None,2026-09-07,Overdue
REM-000125,VULN-015638,AST-03584,Encrypt database,Data Protection,87159,16,29.2,631039,Low,CTRL-0296,Requires vendor coordination,2026-10-02,In Progress
REM-000126,VULN-017403,AST-04151,Network segmentation,Network,175149,34,38.0,1457831,Medium,CTRL-0361,Requires change approval,2026-10-18,Completed
REM-000127,VULN-011076,AST-00920,Network segmentation,Network,213363,32,28.3,1546813,Low,CTRL-0013,Requires change approval,2026-10-11,Pending
REM-000128,VULN-005132,AST-02170,Fix cloud configuration,Cloud,14836,2,30.0,107780,Low,CTRL-0061,Requires downtime window,2026-09-08,In Progress
REM-000129,VULN-001750,AST-02420,Patch vulnerability,Patching,13932,6,68.6,174095,High,CTRL-0348,Requires budget approval,2026-09-20,Pending
REM-000130,VULN-018294,AST-07277,Apply least privilege,Identity,40628,9,42.0,209791,Medium,CTRL-0096,None,2026-09-26,Pending
REM-000131,VULN-010767,AST-00264,Network segmentation,Network,175045,29,35.0,764380,Low,CTRL-0043,Requires vendor coordination,2026-10-09,In Progress
REM-000132,VULN-014308,AST-04591,Fix cloud configuration,Cloud,8370,3,26.6,25537,High,CTRL-0011,Requires change approval,2026-09-10,Completed
REM-000133,VULN-018580,AST-09856,Increase monitoring,Monitoring,38991,4,16.3,377415,Critical,CTRL-0305,Requires budget approval,2026-09-17,In Progress
REM-000134,VULN-018282,AST-03629,Apply least privilege,Identity,27007,17,28.7,273561,Low,CTRL-0035,Requires budget approval,2026-10-04,Completed
REM-000135,VULN-011227,AST-00436,Apply least privilege,Identity,30333,19,32.3,119988,Medium,CTRL-0179,Requires budget approval,2026-09-23,Pending
REM-000136,VULN-000506,AST-03134,Fix cloud configuration,Cloud,13713,3,23.7,196610,Low,CTRL-0273,None,2026-09-11,Pending
REM-000137,VULN-029212,AST-00264,Enable backup,Resilience,42406,15,40.3,271040,Medium,CTRL-0194,Requires budget approval,2026-09-24,Pending
REM-000138,VULN-021948,AST-04115,Increase monitoring,Monitoring,37488,6,21.4,145457,High,CTRL-0098,Requires budget approval,2026-09-23,Pending
REM-000139,VULN-013473,AST-01007,Increase monitoring,Monitoring,44145,16,15.4,266573,High,CTRL-0202,None,2026-10-02,Pending
REM-000140,VULN-000797,AST-04735,Disable account,Identity,1586,1,18.4,19764,High,CTRL-0216,Requires budget approval,2026-09-12,Completed
REM-000141,VULN-011302,AST-09830,Increase monitoring,Monitoring,56878,5,19.2,423917,Medium,CTRL-0027,None,2026-09-16,Completed
REM-000142,VULN-021266,AST-01537,Upgrade firewall,Network,219472,22,24.4,1449152,Low,CTRL-0163,Requires budget approval,2026-09-30,Completed
REM-000143,VULN-007194,AST-03276,Network segmentation,Network,168125,36,30.1,1025032,High,CTRL-0300,Requires budget approval,2026-10-15,Pending
REM-000144,VULN-006413,AST-06515,Deploy EDR,Endpoint,115172,21,46.6,967046,Critical,CTRL-0237,Requires vendor coordination,2026-09-27,In Progress
REM-000145,VULN-017230,AST-09275,Encrypt database,Data Protection,73758,15,22.5,1102457,Medium,CTRL-0236,None,2026-09-24,Pending
REM-000146,VULN-004893,AST-05303,Enable MFA,Identity,29900,7,44.5,433288,Medium,CTRL-0387,Requires vendor coordination,2026-09-11,In Progress
REM-000147,VULN-021087,AST-07912,Encrypt database,Data Protection,59327,15,27.5,433451,High,CTRL-0237,Requires change approval,2026-09-19,Pending
REM-000148,VULN-009453,AST-02654,Network segmentation,Network,206805,38,38.2,1471038,Low,CTRL-0071,Requires vendor coordination,2026-10-25,In Progress
REM-000149,VULN-028033,AST-00572,Deploy EDR,Endpoint,117969,16,32.4,1625073,High,CTRL-0364,Requires budget approval,2026-10-02,Completed
REM-000150,VULN-028602,AST-03309,Network segmentation,Network,119652,33,27.5,707591,Medium,CTRL-0001,Requires vendor coordination,2026-10-17,Completed
REM-000151,VULN-002898,AST-00877,Deploy EDR,Endpoint,109268,15,40.2,806397,Low,CTRL-0197,Requires change approval,2026-09-22,Pending
REM-000152,VULN-024949,AST-09734,Enable backup,Resilience,45392,8,55.4,436441,Medium,CTRL-0127,Requires vendor coordination,2026-09-24,In Progress
REM-000153,VULN-024985,AST-02173,Apply least privilege,Identity,38100,7,32.4,284761,High,CTRL-0196,Requires change approval,2026-09-13,Pending
REM-000154,VULN-010462,AST-04397,Disable account,Identity,1635,2,18.1,23206,Critical,CTRL-0034,Requires downtime window,2026-09-07,Completed
REM-000155,VULN-009773,AST-05063,Apply least privilege,Identity,42515,16,37.3,170286,Low,CTRL-0267,Requires budget approval,2026-10-02,In Progress
REM-000156,VULN-021424,AST-07642,Network segmentation,Network,210173,27,27.1,3043673,Low,CTRL-0240,None,2026-10-13,Pending
REM-000157,VULN-019019,AST-05353,Increase monitoring,Monitoring,64127,12,19.9,499122,High,CTRL-0368,Requires budget approval,2026-09-24,In Progress
REM-000158,VULN-028715,AST-08987,Encrypt database,Data Protection,47798,12,18.7,575521,High,CTRL-0262,Requires vendor coordination,2026-09-24,Completed
REM-000159,VULN-013212,AST-03849,Increase monitoring,Monitoring,66844,11,15.9,223603,High,CTRL-0019,Requires downtime window,2026-09-23,Completed
REM-000160,VULN-010851,AST-08544,Upgrade firewall,Network,224646,30,28.1,1604248,Medium,CTRL-0380,Requires change approval,2026-10-15,Completed
REM-000161,VULN-002461,AST-01332,Increase monitoring,Monitoring,59948,7,22.3,777487,Low,CTRL-0224,None,2026-09-21,Pending
REM-000162,VULN-020616,AST-00285,Enable backup,Resilience,49947,6,36.5,685859,High,CTRL-0076,Requires change approval,2026-09-17,Completed
REM-000163,VULN-029776,AST-07801,Encrypt database,Data Protection,54566,8,23.8,478550,High,CTRL-0219,Requires budget approval,2026-09-18,Completed
REM-000164,VULN-009042,AST-03902,Encrypt database,Data Protection,69905,15,23.2,767562,Critical,CTRL-0324,Requires downtime window,2026-10-02,In Progress
REM-000165,VULN-028370,AST-02266,Upgrade firewall,Network,233539,18,27.9,2737032,Critical,CTRL-0207,Requires downtime window,2026-09-29,Overdue
REM-000166,VULN-021531,AST-05246,Disable account,Identity,2454,11,20.7,21875,Medium,CTRL-0052,Requires change approval,2026-09-15,Pending
REM-000167,VULN-011875,AST-09670,Deploy EDR,Endpoint,68203,23,39.0,276751,Medium,CTRL-0359,Requires vendor coordination,2026-10-10,Overdue
REM-000168,VULN-005312,AST-04790,Network segmentation,Network,125509,33,26.2,1176828,Critical,CTRL-0277,Requires downtime window,2026-10-21,Pending
REM-000169,VULN-008379,AST-01263,Increase monitoring,Monitoring,46125,13,23.5,220289,High,CTRL-0090,Requires change approval,2026-09-26,Overdue
REM-000170,VULN-018783,AST-06379,Disable account,Identity,2450,6,15.5,13582,Medium,CTRL-0180,Requires budget approval,2026-09-22,Completed
REM-000171,VULN-003731,AST-04670,Enable MFA,Identity,25466,9,36.7,212898,Low,CTRL-0251,Requires downtime window,2026-09-18,In Progress
REM-000172,VULN-029912,AST-01101,Network segmentation,Network,105876,27,37.5,958060,Medium,CTRL-0187,Requires change approval,2026-10-12,In Progress
REM-000173,VULN-012170,AST-01397,Network segmentation,Network,130912,32,30.8,733397,Critical,CTRL-0305,Requires downtime window,2026-10-16,Pending
REM-000174,VULN-028189,AST-03118,Increase monitoring,Monitoring,71485,6,21.8,270581,Medium,CTRL-0155,None,2026-09-21,Pending
REM-000175,VULN-005624,AST-09089,Upgrade firewall,Network,151064,25,29.9,1018397,High,CTRL-0363,Requires change approval,2026-10-13,In Progress
REM-000176,VULN-022163,AST-08480,Upgrade firewall,Network,232779,30,32.8,880506,Medium,CTRL-0196,Requires downtime window,2026-10-10,Overdue
REM-000177,VULN-016847,AST-00964,Upgrade firewall,Network,151610,25,32.1,1314422,Critical,CTRL-0011,Requires change approval,2026-10-04,Completed
REM-000178,VULN-016325,AST-08836,Disable account,Identity,2907,7,18.5,18313,Low,CTRL-0167,Requires downtime window,2026-09-17,Overdue
REM-000179,VULN-023618,AST-08831,Fix cloud configuration,Cloud,9787,1,35.5,90584,High,CTRL-0138,Requires change approval,2026-09-18,Completed
REM-000180,VULN-022957,AST-09878,Fix cloud configuration,Cloud,10091,1,22.9,54836,Low,CTRL-0057,None,2026-09-18,Pending
REM-000181,VULN-012714,AST-08909,Network segmentation,Network,114702,28,29.2,1491708,High,CTRL-0286,None,2026-10-06,In Progress
REM-000182,VULN-013050,AST-09627,Deploy EDR,Endpoint,81612,17,38.1,334950,High,CTRL-0135,Requires downtime window,2026-09-22,Pending
REM-000183,VULN-001065,AST-07241,Network segmentation,Network,155232,38,29.1,1205048,Medium,CTRL-0022,Requires downtime window,2026-10-26,In Progress
REM-000184,VULN-028820,AST-09441,Upgrade firewall,Network,218169,19,23.4,1875213,Low,CTRL-0321,Requires budget approval,2026-09-29,Pending
REM-000185,VULN-010723,AST-00230,Upgrade firewall,Network,298617,22,33.4,2280655,High,CTRL-0181,None,2026-10-01,Completed
REM-000186,VULN-008675,AST-02419,Upgrade firewall,Network,290154,27,33.2,2653866,Medium,CTRL-0163,None,2026-10-15,Overdue
REM-000187,VULN-005022,AST-06404,Enable backup,Resilience,51861,12,51.6,268814,Low,CTRL-0004,Requires budget approval,2026-09-19,Pending
REM-000188,VULN-010788,AST-02239,Encrypt database,Data Protection,51525,8,20.0,455805,High,CTRL-0185,None,2026-09-23,In Progress
REM-000189,VULN-011183,AST-08625,Encrypt database,Data Protection,46778,9,27.1,316096,Medium,CTRL-0186,Requires budget approval,2026-09-21,In Progress
REM-000190,VULN-006591,AST-00664,Deploy EDR,Endpoint,82242,24,41.3,1061590,Critical,CTRL-0372,Requires budget approval,2026-10-08,In Progress
